barcode,product_name,editeur,supplier_name,total_qty_invoiced,list_price
9782813202482,LES SEPT LOIS SPIRITUELLES DU VRAI BONHEUR,TREDANIEL,Interforum ,2.00,15.4
9782813202826,LE POUVOIR,TREDANIEL,Interforum ,3.00,24.20
9782813203502,MESSAGES DE L'EAU ET DE L'UNIVERS,TREDANIEL,Interforum ,1.00,15.29
9782813204288,"LE GUIDE ESSENTIEL DES CHAKRAS - DECOUVREZ LE POUVOIR DES CHAKRAS SUR LE MENTAL, LE CORPS ET L'ESPRI",TREDANIEL,Interforum ,2.00,18.7
9782813204554,CINQ POINTS POUR MON ENFANT,TREDANIEL,Interforum ,2.00,25.3
9782813204653,L'ENERGETIQUE CHINOISE APPLIQUEE A LA REFLEXO LOGIE PLANTAIRE,TREDANIEL,Interforum ,2.00,30.8
9782813204943,LA MAGIE,TREDANIEL,Interforum ,9.00,19.8
9782813204950,DIVORCER D'UN MANIPULATEUR - UN EMPLOI A PLEIN-TEMPS,TREDANIEL,Interforum ,1.00,20.90
9782813205407,L'HYDROTHERAPIE CHEZ SOI - LA MEDECINE DES CAPILLAIRES,TREDANIEL,Interforum ,1.00,14.30
9782813205483,LA METHODE AORA,TREDANIEL,Interforum ,1.00,18.7
9782813205797,LA PREUVE DU PARADIS - VOYAGE D'UN NEUROCHIRURGIEN DANS L'APRES-VIE,TREDANIEL,Interforum ,2.00,19.80
9782813205940,LE CODE DE GUERISON - 6 MINUTES POUR DESACTIVER LA SOURCE PRIMAIRE DE TOUTES LES MALADIES,TREDANIEL,Interforum ,1.00,21.89
9782813206053,LES 5 REGRETS DES PERSONNES EN FIN DE VIE,TREDANIEL,Interforum ,4.00,21.89
9782813206282,MANUEL APPROFONDI DE REFLEXOLOGIE PLANTAIRE,TREDANIEL,Interforum ,1.00,30.80
9782813206541,QI GONG DES 12 MERIDIENS (LIV+DVD),TREDANIEL,Interforum ,1.00,27.39
9782813207142,ZEN SHIATSU - COMMENT EQUILIBRER LE YIN ET LE YANG POUR UNE MEILLEURE SANTE,TREDANIEL,Interforum ,1.00,19.8
9782813207289,LE JEUNE - UNE METHODE NATURELLE DE SANTE ET DE LONGEVITE,TREDANIEL,Interforum ,1.00,18.59
9782813207760,EN BONNE SANTE AVEC LES ABEILLES + DVD - LE TRAITEMENT DES PATHOLOGIES AVEC LES PRODUITS DE LA RUCHE,TREDANIEL,Interforum ,3.00,32.89
9782813207951,"JE PENSE MIEUX - VIVRE HEUREUX AVEC UN CERVEAU BOUILLONNANT, C'EST POSSIBLE !",TREDANIEL,Interforum ,19.00,20.90
9782813207999,L'ART DE L'ECOUTE - A LA RENCONTRE DU SACRE,TREDANIEL,Interforum ,1.00,25.19
9782813208040,ENFANTS DE MANIPULATEURS - COMMENT LES PROTEGER ?,TREDANIEL,Interforum ,2.00,20.90
9782813208057,DU CERVEAU A DIEU,TREDANIEL,Interforum ,1.00,25.3
9782813208170,L'ART DE LA GUERRE,TREDANIEL,Interforum ,1.00,21.89
